Gross Commit Indicator,Financial Aid Intent,Scholarship,Direct Legacy? (parent),Ethnic Background,First Gen to College,Permanent Region,GPA,HS Class Size,Campus Visit Indicator?,Interview?,Academic Interest,Sex,Level of Financial Need,Reader Academic Rating,id
0,FAN,PRES,0,"Asian, White",0,CA,4.0,111.0,1,0,Physics: 3-2 Engineering Program,M,"Low OxyS - $1 to $19,999",1,5924
0,FAY,DIR,0,Asian,0,CA,3.58,,1,0,Biochemistry,F,"Low OxyS - $1 to $19,999",2,8319
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.76,725.0,0,0,Education,F,"High OxyS - $30,000 to $45,999",4,8464
0,FAY,NO,0,White,0,CA,3.33,250.0,1,0,Geology,M,No OxyS - $0,4,2833
0,FAY,,0,White,0,CT,3.41,,1,1,Music,M,"High OxyS - $30,000 to $45,999",2,8027
0,FAY,NO,0,White,0,WA,3.52,256.0,0,0,Linguistics,F,"High OxyS - $30,000 to $45,999",4,1583
0,FAY,,1,Asian,0,CT,4.0,,1,0,American Studies,F,"Medium OxyS - $20,000 - $29,999",2,3367
0,FAY,PRES,0,Asian,0,CA,4.0,464.0,0,0,Mathematics,F,"Medium OxyS - $20,000 - $29,999",1,1483
0,FAN,,0,"Asian, Hispanic/Latino, White",0,CA,3.54,,1,1,Theater,F,No OxyS - $0,3,5373
0,FAN,NO,0,White,0,MA,3.54,160.0,1,1,Politics,F,No OxyS - $0,3,9283
0,FAY,NO,0,Asian,0,NC,3.66,357.0,0,0,Music,F,"Low OxyS - $1 to $19,999",2,5567
0,FAY,NO,0,Hispanic/Latino,1,CA,3.47,113.0,1,0,Economics,M,"High OxyS - $30,000 to $45,999",4,1144
0,FAY,NO,0,Asian,0,CA,3.79,319.0,0,0,Biochemistry,M,"Low OxyS - $1 to $19,999",2,5232
0,FAN,NO,0,White,0,CA,3.86,478.0,1,0,Economics,F,No OxyS - $0,2,333
1,FAY,PRES,0,White,0,MD,3.94,223.0,1,0,Geology,F,"Medium OxyS - $20,000 - $29,999",1,5612
0,FAN,NO,0,White,0,MA,3.5,527.0,1,0,Diplomacy & World Affairs,F,No OxyS - $0,4,1872
0,FAN,NO,0,White,0,MA,3.81,,0,0,English,F,No OxyS - $0,2,5498
0,FAY,NO,0,Asian,0,ON,2.96,500.0,0,0,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",3,1438
1,FAY,ACH,1,Asian,0,CA,3.88,,0,0,Cognitive Science,F,"Low OxyS - $1 to $19,999",2,3094
0,FAY,NO,0,Asian,0,CA,3.72,539.0,0,1,Biology,M,No OxyS - $0,3,8734
0,FAY,DIR,0,"Hispanic/Latino, White",0,CA,3.95,458.0,0,0,Politics,M,"Medium OxyS - $20,000 - $29,999",2,8792
1,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.75,594.0,1,0,Biology,M,"Very High OxyS - $46,000 +",2,1702
0,FAY,DIR,0,White,0,CT,3.79,257.0,1,1,Psychology,F,"Low OxyS - $1 to $19,999",2,9533
0,FAN,NO,1,Asian,0,CA,3.69,734.0,1,0,Biology,M,No OxyS - $0,2,2660
0,FAY,TRST,0,"Asian, White",1,WY,4.0,130.0,1,0,Theater,M,"High OxyS - $30,000 to $45,999",1,314
0,FAY,NO,0,Asian,0,HI,3.37,235.0,0,0,English,F,"Very High OxyS - $46,000 +",3,7474
0,FAN,TRST,0,White,0,CA,3.88,137.0,1,0,Pre-health Professions,M,"Low OxyS - $1 to $19,999",1,19
0,FAN,NO,0,"Hispanic/Latino, White",0,CA,3.69,156.0,1,0,Economics,F,No OxyS - $0,4,5343
0,FAN,DIR,0,Asian,0,CA,3.73,849.0,1,0,Engineering Combined Degree Program,M,"Low OxyS - $1 to $19,999",2,8434
0,FAY,NO,0,White,0,CA,3.72,187.0,1,0,Chemistry,F,"Low OxyS - $1 to $19,999",2,2357
1,FAY,,1,White,0,MN,3.63,,1,0,Chinese Studies,M,"Low OxyS - $1 to $19,999",3,6767
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.7,464.0,0,1,Urban and Environmental Policy,F,"Low OxyS - $1 to $19,999",3,8879
1,FAN,DIR,0,White,0,DE,3.88,9.0,1,1,Mathematics,F,"Low OxyS - $1 to $19,999",2,6756
0,FAY,TRST,0,Black or African American,0,IL,3.78,227.0,1,0,Urban and Environmental Policy,F,"Very High OxyS - $46,000 +",1,426
0,FAN,,0,White,0,WA,3.74,,0,0,Biology,M,No OxyS - $0,4,6307
0,FAN,NO,0,White,0,CA,3.82,355.0,1,0,Economics,M,No OxyS - $0,2,1474
0,FAY,NO,0,White,0,MN,3.89,104.0,0,0,Art History,F,Unknown - In Progress,3,7439
0,FAY,DIR,0,White,0,VA,3.63,,1,0,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",2,3157
1,FAY,DIR,0,White,0,NY,3.84,63.0,1,1,Studio Art,M,"Low OxyS - $1 to $19,999",2,8254
0,FAN,NO,0,White,0,CA,3.75,588.0,0,0,Biology,M,No OxyS - $0,3,4989
1,FAY,DIR,0,White,0,MD,3.98,69.0,1,1,Economics,M,"Low OxyS - $1 to $19,999",2,4107
0,FAN,NO,0,Asian,0,Shanghai,3.54,123.0,0,0,Sociology,M,No OxyS - $0,4,9541
0,FAY,TRST,0,White,0,IL,3.84,492.0,0,0,Pre-health Professions,F,"Medium OxyS - $20,000 - $29,999",1,8627
0,FAN,DIR,0,White,0,WA,3.93,414.0,1,0,Politics,F,"Low OxyS - $1 to $19,999",2,8271
0,FAY,NO,0,White,1,WA,3.94,3.0,0,0,Psychology,F,"Low OxyS - $1 to $19,999",3,8609
0,FAN,NO,0,"Hispanic/Latino, White",0,TX,3.43,595.0,0,0,Diplomacy & World Affairs,F,No OxyS - $0,3,6676
1,FAY,NO,0,Hispanic/Latino,1,CA,3.93,474.0,1,0,Biology,M,"High OxyS - $30,000 to $45,999",2,8589
0,FAY,DIR,0,Asian,0,CA,3.88,359.0,0,1,Mathematics,F,"Low OxyS - $1 to $19,999",2,9253
0,FAY,NO,0,Hispanic/Latino,0,CA,3.48,555.0,0,0,Group Language (Foreign Languages),M,"Medium OxyS - $20,000 - $29,999",4,2802
1,FAY,,0,Asian,0,CA,3.52,,1,0,Kinesiology,F,"Low OxyS - $1 to $19,999",3,3921
0,FAN,NO,0,White,0,CA,3.38,800.0,1,0,Urban and Environmental Policy,M,No OxyS - $0,3,5885
0,FAY,MBS,0,White,0,CA,4.0,113.0,0,0,Art History,M,"Medium OxyS - $20,000 - $29,999",1,5677
0,FAY,NO,0,White,0,NY,3.7,256.0,0,0,Economics,M,"High OxyS - $30,000 to $45,999",3,2102
0,FAN,DIR,0,"Hispanic/Latino, White",0,MA,3.63,,1,1,English,F,"Low OxyS - $1 to $19,999",2,6172
0,FAY,,0,"Hispanic/Latino, White",0,TX,3.65,,0,0,Physics: 3-2 Engineering Program,M,No OxyS - $0,3,1295
0,FAY,TRST,0,"Hispanic/Latino, White",0,NY,3.96,259.0,1,0,Marine Biology,F,"Low OxyS - $1 to $19,999",1,8701
0,FAN,DIR,0,,0,CA,3.62,389.0,1,0,Pre-health Professions,M,"Low OxyS - $1 to $19,999",2,4926
0,FAN,,0,White,0,NY,3.79,,1,0,English,M,No OxyS - $0,2,6187
1,FAY,DIR,0,White,0,CO,3.92,594.0,1,1,Art History,M,"Very High OxyS - $46,000 +",2,8812
0,FAY,,0,White,0,CA,3.82,,1,0,Biology,F,No OxyS - $0,3,5003
1,FAY,NO,1,White,0,CO,3.36,262.0,1,0,Neuroscience,F,"High OxyS - $30,000 to $45,999",4,465
0,FAN,MBS,0,Asian,0,Karnataka,,110.0,0,0,Diplomacy & World Affairs,F,"Medium OxyS - $20,000 - $29,999",1,7011
0,FAY,NO,0,Asian,0,CA,3.56,652.0,1,0,Biochemistry,F,"High OxyS - $30,000 to $45,999",2,8076
0,FAY,NO,0,White,0,WA,4.0,189.0,0,0,Cognitive Science,M,"High OxyS - $30,000 to $45,999",3,1620
0,FAY,MBS,0,Asian,0,IL,3.9,206.0,0,0,Neuroscience,F,"Medium OxyS - $20,000 - $29,999",1,3653
0,FAY,TRST,0,White,0,CA,3.96,139.0,1,0,Mathematics,F,"Low OxyS - $1 to $19,999",1,5197
0,FAY,PRES,0,Black or African American,0,KS,4.0,375.0,0,0,Psychology,F,"Medium OxyS - $20,000 - $29,999",1,3899
0,FAY,,0,"Asian, Hispanic/Latino, White",0,CA,4.0,,1,1,Biochemistry,F,No OxyS - $0,2,8552
1,FAY,LDRS,0,White,1,GA,3.95,143.0,1,0,Psychology,F,"Very High OxyS - $46,000 +",2,4277
0,FAY,PRES,0,White,0,CA,4.0,,0,0,Mathematics,F,"High OxyS - $30,000 to $45,999",1,2891
0,FAN,TRST,0,White,0,WA,4.0,177.0,0,0,Politics,F,"Low OxyS - $1 to $19,999",1,1654
0,FAN,PRES,1,Asian,0,CA,3.98,198.0,1,0,Physics,M,"Medium OxyS - $20,000 - $29,999",1,6491
0,FAN,DIR,0,"American Indian or Alaska Native, Hispanic/Latino, White",0,CT,3.69,,0,0,Art History,F,"Low OxyS - $1 to $19,999",2,5961
0,FAY,PRES,0,White,0,CA,4.0,56.0,1,0,History,F,"Medium OxyS - $20,000 - $29,999",1,5461
0,FAN,TRST,0,White,0,MD,3.87,81.0,1,0,Diplomacy & World Affairs,M,"Low OxyS - $1 to $19,999",1,4988
1,FAN,NO,0,Black or African American,0,CA,3.33,62.0,1,0,Independent Pattern of Study,F,No OxyS - $0,4,1816
0,FAY,NO,0,"Asian, Black or African American, White",1,CA,3.93,455.0,1,1,Psychology,F,"High OxyS - $30,000 to $45,999",4,7721
0,FAY,NO,0,"Hispanic/Latino, White",1,CA,3.83,218.0,0,0,Pre-health Professions,F,"High OxyS - $30,000 to $45,999",2,2032
1,FAY,NO,0,Black or African American,0,GA,3.73,201.0,1,0,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",3,1767
0,FAY,NO,0,"Hispanic/Latino, White",1,TX,3.77,103.0,1,1,Mathematics,F,"Very High OxyS - $46,000 +",3,2845
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.6,645.0,0,0,Undecided,M,"Low OxyS - $1 to $19,999",3,8403
1,FAY,,0,Asian,0,CA,3.78,,1,0,Pre-health Professions,F,"High OxyS - $30,000 to $45,999",2,9451
0,FAY,NO,0,White,0,IL,3.38,622.0,1,0,Kinesiology,F,"Low OxyS - $1 to $19,999",3,6197
1,FAY,DIR,0,"Hispanic/Latino, White",0,CA,3.94,,1,1,Art History,F,"Medium OxyS - $20,000 - $29,999",2,810
0,FAY,NO,0,"Hispanic/Latino, White",0,WA,3.62,263.0,0,1,History,F,"Medium OxyS - $20,000 - $29,999",3,3321
1,FAY,NO,0,"Asian, White",0,CA,3.75,750.0,1,1,Education,F,No OxyS - $0,3,5463
0,FAN,TRST,0,White,0,WA,3.89,365.0,1,0,Biology,F,"Low OxyS - $1 to $19,999",1,1333
0,FAN,,0,White,0,DC,3.32,,1,0,Physics,F,No OxyS - $0,3,7265
1,FAY,NO,0,White,0,WA,3.91,250.0,1,0,Biology,F,"Low OxyS - $1 to $19,999",4,1947
0,FAY,PRES,0,Asian,0,HI,3.93,419.0,0,0,Pre-health Professions,F,"Low OxyS - $1 to $19,999",1,7877
0,FAN,TRST,0,White,0,NC,3.82,,1,0,Art History,F,"Low OxyS - $1 to $19,999",1,8148
0,FAY,,0,White,0,CA,3.42,,0,0,Sociology,M,"Low OxyS - $1 to $19,999",4,958
0,FAY,TRST,0,White,0,MD,3.92,60.0,1,1,Sociology,M,"Low OxyS - $1 to $19,999",1,1916
0,FAY,DIR,0,"Black or African American, White",0,CA,3.96,289.0,0,0,Biology,M,"Very High OxyS - $46,000 +",2,3612
0,FAN,NO,0,White,0,NY,3.54,189.0,0,0,Engineering Combined Degree Program,M,No OxyS - $0,2,9027
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.52,507.0,1,1,Art History,M,No OxyS - $0,3,1217
0,FAN,PRES,0,White,0,MN,4.0,767.0,0,0,English,F,"High OxyS - $30,000 to $45,999",1,3673
1,FAY,,0,White,0,CA,3.55,,1,0,Theater,F,"Low OxyS - $1 to $19,999",3,932
0,FAY,DIR,0,White,0,CA,3.33,42.0,1,1,Politics,M,"Low OxyS - $1 to $19,999",2,2358
0,FAN,,0,White,0,DE,3.68,,0,0,Independent Pattern of Study,F,No OxyS - $0,3,2009
0,FAN,,0,Asian,1,CA,3.63,,1,0,Biology,F,No OxyS - $0,3,4931
0,FAN,NO,0,White,0,NY,3.43,55.0,1,1,Cognitive Science,F,No OxyS - $0,4,3506
0,FAY,NO,0,Asian,0,CA,3.65,849.0,1,0,Geology,F,"Low OxyS - $1 to $19,999",3,8053
0,FAY,,0,Hispanic/Latino,1,CA,3.85,,0,0,Politics,F,"High OxyS - $30,000 to $45,999",2,3027
0,FAN,NO,0,White,0,TX,3.61,99.0,0,0,French Studies,F,No OxyS - $0,4,1909
1,FAY,PRES,0,White,0,CO,3.78,378.0,0,0,Pre-law Advising,F,"High OxyS - $30,000 to $45,999",1,2128
1,FAY,DIR,0,White,0,MI,3.9,344.0,1,0,Group Language (Foreign Languages),F,"High OxyS - $30,000 to $45,999",2,3479
0,FAN,NO,0,"Asian, White",0,CA,3.92,750.0,1,0,Economics,F,No OxyS - $0,3,6543
0,FAN,NO,0,White,0,CA,3.89,98.0,1,0,Art History,F,No OxyS - $0,2,6821
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.56,138.0,1,0,"Media, Arts and Culture",M,"Low OxyS - $1 to $19,999",3,9282
0,FAY,LDRS,0,,0,MA,3.69,97.0,0,0,English,F,"Very High OxyS - $46,000 +",3,2095
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.96,167.0,1,0,Economics,F,"High OxyS - $30,000 to $45,999",2,6190
0,FAN,TRST,0,White,0,CA,3.94,81.0,1,1,Biology,F,"Medium OxyS - $20,000 - $29,999",1,7641
0,FAN,DIR,0,White,0,MA,3.85,84.0,0,0,English,F,"Low OxyS - $1 to $19,999",2,1011
0,FAN,NO,0,White,0,WA,3.83,375.0,0,0,Economics,M,No OxyS - $0,2,1921
0,FAN,DIR,0,Asian,0,CA,3.39,331.0,0,0,Undecided,F,"Low OxyS - $1 to $19,999",2,3774
0,FAY,NO,0,Hispanic/Latino,0,NJ,3.72,63.0,0,0,Psychology,F,"Very High OxyS - $46,000 +",3,1146
1,FAN,,0,"Hispanic/Latino, White",0,WA,3.38,,1,0,Pre-health Professions,F,No OxyS - $0,4,5751
0,FAY,NO,0,Hispanic/Latino,1,CA,4.0,277.0,0,0,Physics: 3-2 Engineering Program,M,"High OxyS - $30,000 to $45,999",4,3886
0,FAY,,0,White,0,CA,3.6,,1,1,Urban and Environmental Policy,F,"Low OxyS - $1 to $19,999",4,2888
0,FAY,NO,0,"American Indian or Alaska Native, White",0,CA,3.52,636.0,0,0,Music,M,"Low OxyS - $1 to $19,999",3,569
1,FAY,NO,0,White,0,CA,3.56,124.0,1,0,Psychology,F,"Medium OxyS - $20,000 - $29,999",4,5019
1,FAN,NO,0,White,0,TX,3.5,119.0,1,0,Economics,M,No OxyS - $0,4,816
0,FAY,,0,White,1,NH,3.73,,0,1,Diplomacy & World Affairs,M,"High OxyS - $30,000 to $45,999",2,6519
0,FAN,TRST,0,Asian,1,HI,3.76,229.0,0,0,"Media, Arts and Culture",M,"Low OxyS - $1 to $19,999",1,5410
0,FAY,NO,0,White,0,CA,3.46,166.0,1,0,Kinesiology,F,No OxyS - $0,3,2860
0,FAY,NO,0,White,0,MD,3.27,344.0,0,0,Neuroscience,M,"Low OxyS - $1 to $19,999",4,7651
0,FAN,TRST,0,White,0,CA,4.0,536.0,0,0,Linguistics,F,"Low OxyS - $1 to $19,999",1,8344
0,FAY,NO,0,White,0,CA,3.71,95.0,0,0,Biology,M,"Very High OxyS - $46,000 +",4,6032
1,FAY,NO,0,White,0,CT,3.17,176.0,1,0,English,F,"Low OxyS - $1 to $19,999",4,6866
0,FAN,NO,0,White,0,WA,3.98,169.0,0,0,Economics,M,No OxyS - $0,1,6863
0,FAN,PRES,0,White,0,IL,3.94,271.0,0,0,Biology,F,"Low OxyS - $1 to $19,999",1,6822
1,FAY,NO,0,"Asian, Native Hawaiian or Other Pacific Islander",1,NY,4.0,259.0,1,0,Biology,F,"Very High OxyS - $46,000 +",3,8584
0,FAY,,0,White,0,NY,3.48,,0,0,Physics,M,"Low OxyS - $1 to $19,999",3,1093
1,FAY,DIR,0,White,0,WA,4.0,472.0,1,0,Biology,M,"High OxyS - $30,000 to $45,999",2,628
0,FAY,NO,0,"Black or African American, White",0,UT,3.26,66.0,0,0,Interdisciplinary Writing,F,No OxyS - $0,4,9016
0,FAN,NO,0,White,0,,3.87,8.0,1,0,"Media, Arts and Culture",F,No OxyS - $0,3,7728
0,FAN,NO,0,"American Indian or Alaska Native, White",0,CA,3.81,99.0,0,0,English,F,No OxyS - $0,2,5698
0,FAN,NO,0,Asian,0,Hong Kong Island,3.66,77.0,0,0,Psychology,F,No OxyS - $0,2,5012
1,FAY,NO,0,White,0,CA,3.79,112.0,1,0,Economics,M,"High OxyS - $30,000 to $45,999",4,3131
0,FAY,NO,0,White,0,UT,4.0,262.0,1,0,Psychology,F,"Low OxyS - $1 to $19,999",2,8158
0,FAY,DIR,0,Asian,0,CA,3.89,530.0,0,0,Economics,M,"Very High OxyS - $46,000 +",2,4444
0,FAY,NO,0,Asian,0,CA,3.98,535.0,0,0,Pre-law Advising,F,"High OxyS - $30,000 to $45,999",2,3096
0,FAN,NO,0,White,0,MD,3.78,505.0,0,0,Chinese Studies,M,No OxyS - $0,3,5623
0,FAY,NO,0,"Asian, Hispanic/Latino, White",0,NY,3.68,50.0,0,0,Theater,F,No OxyS - $0,4,1194
0,FAN,NO,0,Asian,0,MN,3.65,678.0,0,0,Comparative Studies in Literature and Culture,F,No OxyS - $0,2,7446
0,FAY,DIR,0,"Hispanic/Latino, White",0,TX,3.65,520.0,1,0,Biology,F,"Very High OxyS - $46,000 +",2,9040
0,FAY,NO,0,Hispanic/Latino,1,CA,3.41,333.0,0,0,Economics,M,"Medium OxyS - $20,000 - $29,999",5,3042
0,FAY,DIR,0,White,0,CA,3.52,419.0,0,0,Studio Art,M,"Low OxyS - $1 to $19,999",2,1257
0,FAY,NO,0,White,0,NY,3.92,756.0,0,1,Pre-health Professions,M,"Low OxyS - $1 to $19,999",4,2348
1,FAY,NO,0,White,1,OR,4.0,392.0,1,1,Art History,F,"Very High OxyS - $46,000 +",3,2090
0,FAY,NO,0,White,0,WA,4.0,320.0,0,0,Psychology,F,"Low OxyS - $1 to $19,999",3,8235
0,FAY,DIR,0,Hispanic/Latino,0,CA,3.96,470.0,0,0,Physics,M,"High OxyS - $30,000 to $45,999",2,7135
0,FAY,NO,0,"American Indian or Alaska Native, White",0,CA,3.76,224.0,1,0,Diplomacy & World Affairs,M,"Low OxyS - $1 to $19,999",2,2812
0,FAY,TRST,0,White,0,CA,4.0,417.0,0,0,Economics,F,"Low OxyS - $1 to $19,999",1,166
0,FAN,NO,0,Asian,0,Beijing,3.39,137.0,1,0,"Media, Arts and Culture",F,No OxyS - $0,3,208
0,FAY,NO,0,Black or African American,0,CA,3.63,124.0,0,0,Politics,F,"High OxyS - $30,000 to $45,999",3,3140
0,FAY,NO,0,Black or African American,1,CA,3.76,573.0,1,0,Cognitive Science,F,"High OxyS - $30,000 to $45,999",1,716
0,FAY,PRES,0,Asian,0,NM,3.98,166.0,1,1,Diplomacy & World Affairs,F,"High OxyS - $30,000 to $45,999",1,5615
0,FAY,PRES,0,White,0,CA,4.0,510.0,0,0,Neuroscience,F,"Low OxyS - $1 to $19,999",1,9214
0,FAY,,0,Asian,1,CA,3.59,,0,0,Computer Science,F,"High OxyS - $30,000 to $45,999",1,4030
1,FAY,DIR,0,"Asian, White",0,Bangkok,2.94,92.0,0,0,Undecided,M,"High OxyS - $30,000 to $45,999",2,2398
0,FAN,MBS,0,White,0,IL,4.0,32.0,0,0,Undecided,F,"Medium OxyS - $20,000 - $29,999",1,8166
1,FAY,TRST,0,White,0,CA,4.0,456.0,1,1,Psychology,F,"Low OxyS - $1 to $19,999",1,8474
0,FAY,DIR,0,White,0,CA,3.84,1081.0,1,0,Urban and Environmental Policy,M,"Low OxyS - $1 to $19,999",2,6064
1,FAY,NO,0,White,0,CA,3.48,443.0,1,0,Diplomacy & World Affairs,M,"Medium OxyS - $20,000 - $29,999",3,7247
1,FAY,NO,0,Black or African American,0,NY,3.76,118.0,1,0,Politics,M,"Medium OxyS - $20,000 - $29,999",3,8918
1,FAN,NO,0,"Asian, Native Hawaiian or Other Pacific Islander, White",0,HI,3.98,426.0,1,0,Japanese Studies,F,No OxyS - $0,3,2420
0,FAY,NO,0,Black or African American,1,NY,4.0,92.0,0,0,Sociology,F,"Very High OxyS - $46,000 +",3,411
0,FAY,NO,0,,0,CA,3.83,223.0,0,0,Mathematics,F,No OxyS - $0,3,8707
0,FAY,TRST,0,"Black or African American, Hispanic/Latino, White",1,VA,4.0,618.0,1,0,Engineering Combined Degree Program,F,"Very High OxyS - $46,000 +",1,432
1,FAN,,0,,0,GA,,,0,0,Diplomacy & World Affairs,F,No OxyS - $0,2,7850
0,FAY,TRST,0,Asian,1,CA,4.0,421.0,0,0,Biology,F,"Low OxyS - $1 to $19,999",1,1456
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,3.96,45.0,0,0,Biology,F,No OxyS - $0,3,7791
1,FAY,PRES,0,White,0,WA,4.0,489.0,1,0,Pre-law Advising,F,"Medium OxyS - $20,000 - $29,999",1,1807
0,FAY,NO,0,"Hispanic/Latino, White",0,CA,4.0,98.0,1,0,Undecided,M,"Very High OxyS - $46,000 +",3,2844
0,FAN,DIR,0,White,0,CA,4.0,,0,0,Biology,F,"Low OxyS - $1 to $19,999",2,6624
0,FAY,NO,0,"Hispanic/Latino, White",1,CA,3.67,481.0,1,0,Biology,F,"High OxyS - $30,000 to $45,999",4,3581
0,FAN,NO,0,White,0,CA,3.48,162.0,0,0,Pre-law Advising,F,No OxyS - $0,3,8672
0,FAN,NO,0,White,0,NY,3.28,78.0,0,0,Music,M,No OxyS - $0,3,577
0,FAY,DIR,0,White,0,MT,3.71,428.0,0,0,Politics,F,"Low OxyS - $1 to $19,999",2,9327
0,FAY,NO,0,Hispanic/Latino,0,CA,3.72,800.0,1,1,Mathematics,F,"Low OxyS - $1 to $19,999",3,7591
0,FAY,TRST,0,Hispanic/Latino,0,CA,3.9,252.0,0,0,Politics,M,"Low OxyS - $1 to $19,999",1,4163
1,FAY,TRST,0,White,0,WA,3.94,298.0,1,0,Computer Science,M,"High OxyS - $30,000 to $45,999",1,4275
0,FAN,DIR,0,"Asian, White",0,MA,3.57,282.0,0,0,Psychology,F,"Low OxyS - $1 to $19,999",2,7847
0,FAN,NO,0,"Asian, White",0,Tokyo,3.48,150.0,1,1,Economics,F,No OxyS - $0,4,2200
0,FAN,NO,0,White,0,NJ,3.94,152.0,0,0,History,F,No OxyS - $0,3,6603
0,FAY,,0,Black or African American,0,CA,3.67,,0,1,Music,M,"High OxyS - $30,000 to $45,999",3,2872
0,FAY,MBS,0,White,0,UT,3.99,379.0,1,0,Urban and Environmental Policy,F,"Medium OxyS - $20,000 - $29,999",1,2550
0,FAY,,0,"Hispanic/Latino, White",0,CA,3.73,,0,1,English,F,"Low OxyS - $1 to $19,999",3,5389
0,FAY,NO,0,White,0,NC,3.5,566.0,0,0,Theater,M,"High OxyS - $30,000 to $45,999",3,5524
0,FAN,NO,0,"Asian, Native Hawaiian or Other Pacific Islander, White",0,CA,3.77,90.0,1,1,Critical Theory & Social Justice,F,No OxyS - $0,2,7222
1,FAY,,0,White,0,WA,3.91,,1,0,Economics,M,"High OxyS - $30,000 to $45,999",3,3767
0,FAN,DIR,0,White,0,TX,3.48,230.0,1,0,Public Health,F,"Low OxyS - $1 to $19,999",2,2774
0,FAY,NO,0,Asian,0,CA,3.63,356.0,0,0,English,F,No OxyS - $0,3,5129
0,FAY,NO,0,White,0,NY,3.37,97.0,0,1,American Studies,F,No OxyS - $0,3,5438
0,FAY,PRES,0,Asian,0,CA,3.98,,0,0,Physics: 3-2 Engineering Program,F,"High OxyS - $30,000 to $45,999",1,9449
0,FAY,DIR,0,White,0,CA,3.83,45.0,0,0,Biology,F,"Low OxyS - $1 to $19,999",2,6747
1,FAN,NO,0,White,0,CA,3.98,363.0,1,1,Biology,M,No OxyS - $0,2,4742
0,FAY,NO,0,"Black or African American, Hispanic/Latino",0,CA,3.95,130.0,1,0,Kinesiology,F,"High OxyS - $30,000 to $45,999",4,2439
0,FAN,NO,0,Asian,0,CA,3.67,455.0,1,0,Critical Theory & Social Justice,F,No OxyS - $0,4,4361
1,FAY,NO,0,Black or African American,0,IL,4.0,201.0,1,0,Critical Theory & Social Justice,F,"Very High OxyS - $46,000 +",3,2222
0,FAN,NO,0,White,0,CA,3.92,540.0,1,0,Biology,F,No OxyS - $0,1,9603
0,FAN,NO,0,White,0,CT,3.79,75.0,1,0,Engineering Combined Degree Program,F,No OxyS - $0,3,1700
0,FAY,DIR,0,White,0,WA,3.94,484.0,1,0,Diplomacy & World Affairs,F,Unknown - In Progress,2,1776
0,FAY,PRES,0,White,0,CA,3.85,1081.0,1,0,History,M,"High OxyS - $30,000 to $45,999",1,4104
0,FAY,DIR,0,White,0,WA,3.98,313.0,1,0,Psychology,F,"High OxyS - $30,000 to $45,999",2,1063
0,FAY,TRST,1,"Hispanic/Latino, White",0,CA,4.0,,0,1,Biology,F,"Low OxyS - $1 to $19,999",1,5341
0,FAY,NO,0,Hispanic/Latino,1,CA,3.83,41.0,1,0,Pre-health Professions,F,"Medium OxyS - $20,000 - $29,999",4,7271
0,FAY,PRES,0,White,0,CA,3.93,700.0,1,0,Politics,F,"Medium OxyS - $20,000 - $29,999",1,1735
0,FAY,PRES,0,"Asian, White",0,BC,3.92,12.0,1,0,Urban and Environmental Policy,F,"High OxyS - $30,000 to $45,999",1,6473
0,FAY,,0,Asian,0,NJ,3.68,,1,0,English,F,"Medium OxyS - $20,000 - $29,999",3,8952
1,FAN,TRST,0,White,0,MD,3.71,500.0,1,1,Environmental Science,F,"Low OxyS - $1 to $19,999",1,8251
0,FAY,NO,0,White,0,WA,3.67,463.0,1,1,Diplomacy & World Affairs,F,"Low OxyS - $1 to $19,999",3,599
0,FAN,,0,White,0,GA,3.83,,0,0,Art History,F,No OxyS - $0,2,154
0,FAN,TRST,0,Asian,0,CA,3.88,498.0,1,0,Psychology,F,"Low OxyS - $1 to $19,999",1,900
0,FAY,NO,0,"Asian, White",0,CA,3.81,47.0,1,0,Mathematics,M,No OxyS - $0,3,7795
0,FAN,TRST,0,White,0,CA,3.77,476.0,0,0,Politics,M,"Low OxyS - $1 to $19,999",1,559
1,FAY,TRST,0,White,0,CA,3.92,222.0,1,0,Urban and Environmental Policy,M,"Low OxyS - $1 to $19,999",1,7613
0,FAN,NO,0,White,0,CA,3.33,356.0,0,0,Psychology,F,No OxyS - $0,5,7393
1,FAY,NO,0,Black or African American,0,Hhohho,2.78,120.0,0,0,Psychology,F,"High OxyS - $30,000 to $45,999",5,6893
1,FAY,DUN,0,White,0,NY,4.0,48.0,1,1,Biochemistry,F,"Medium OxyS - $20,000 - $29,999",1,2700
1,FAY,LDRS,0,White,0,CA,3.89,222.0,1,0,Politics,M,"High OxyS - $30,000 to $45,999",1,2059
1,FAY,,0,Hispanic/Latino,0,OR,3.98,,1,0,Diplomacy & World Affairs,F,"Very High OxyS - $46,000 +",3,7026
0,FAY,MBS,0,White,0,WI,4.0,307.0,0,0,Philosophy,M,"Medium OxyS - $20,000 - $29,999",1,5310
